iter	MultiClass
0	1.311744256
1	1.250362235
2	1.192052908
3	1.147583043
4	1.100945456
5	1.066452736
6	1.017952334
7	0.9825796205
8	0.9551308741
9	0.9216354865
10	0.8994779888
11	0.8718903241
12	0.8434546218
13	0.8315016729
14	0.8159103878
15	0.7967087795
16	0.7779580728
17	0.7692811489
18	0.7553692485
19	0.7409660559
20	0.7296119065
21	0.7151726725
22	0.7079590153
23	0.6940841904
24	0.6833823737
25	0.6706616303
26	0.6663093606
27	0.6570761843
28	0.6487524557
29	0.6382241302
30	0.6285784395
31	0.62054672
32	0.6113219748
33	0.6043286858
34	0.5960426647
35	0.586833912
36	0.5831563586
37	0.5770070053
38	0.5695665244
39	0.5644513532
40	0.5624680782
41	0.5594332751
42	0.5555774742
43	0.5481949953
44	0.5449192543
45	0.5390988863
46	0.5275382951
47	0.5199390099
48	0.5153662238
49	0.5074739338
50	0.5039141937
51	0.4994442789
52	0.4963487277
53	0.4916324956
54	0.4859794391
55	0.4798010419
56	0.4746908453
57	0.4677426759
58	0.464255151
59	0.4602232058
60	0.4531968182
61	0.4462442681
62	0.4414913191
63	0.4328625493
64	0.4293842013
65	0.422280446
66	0.4144190052
67	0.4100750048
68	0.4036378622
69	0.4003879621
70	0.3958967541
71	0.3930044275
72	0.3864156527
73	0.3811681952
74	0.3776393434
75	0.3751566405
76	0.3693391191
77	0.3655663668
78	0.3640874035
79	0.3573954087
80	0.3543685273
81	0.3492360127
82	0.3449487737
83	0.3424214377
84	0.3397038366
85	0.3381394049
86	0.3359740029
87	0.3331614915
88	0.3318551641
89	0.3306821826
90	0.3274980576
91	0.3247485716
92	0.3220831783
93	0.3207610981
94	0.3188119954
95	0.3149953951
96	0.3125255027
97	0.3110646734
98	0.3096784649
99	0.3049338734
