iter	Passed	Remaining
0	7	758
1	15	744
2	22	714
3	28	687
4	37	716
5	46	724
6	53	713
7	61	705
8	67	687
9	74	672
10	80	654
11	87	644
12	94	631
13	100	619
14	107	606
15	114	600
16	122	598
17	130	594
18	138	589
19	144	579
20	151	570
21	159	565
22	160	538
23	170	538
24	179	537
25	187	533
26	189	513
27	199	513
28	208	510
29	221	516
30	229	511
31	240	511
32	251	509
33	260	506
34	270	501
35	281	500
36	289	493
37	296	483
38	305	477
39	313	469
40	318	458
41	320	442
42	328	435
43	337	430
44	347	425
45	356	419
46	365	412
47	374	405
48	381	396
49	391	391
50	395	380
51	405	374
52	412	365
53	420	358
54	429	351
55	437	343
56	446	337
57	455	329
58	463	322
59	474	316
60	481	308
61	491	301
62	503	295
63	513	288
64	522	281
65	532	274
66	539	265
67	543	255
68	553	248
69	564	242
70	573	234
71	581	226
72	589	218
73	599	210
74	607	202
75	617	194
76	626	187
77	637	179
78	646	171
79	656	164
80	665	156
81	674	147
82	682	139
83	693	132
84	703	124
85	711	115
86	719	107
87	729	99
88	738	91
89	747	83
90	754	74
91	764	66
92	773	58
93	785	50
94	791	41
95	800	33
96	810	25
97	819	16
98	827	8
99	837	0
