Vectorizer,Model,Class,Precision,Recall,F1-Score,Support
Bag of Words,Logistic Regression,0,0.8181818181818182,1.0,0.9,9.0
Bag of Words,Logistic Regression,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Bag of Words,Logistic Regression,2,1.0,1.0,1.0,15.0
Bag of Words,Logistic Regression,3,1.0,1.0,1.0,19.0
Bag of Words,Logistic Regression,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
Bag of Words,Logistic Regression,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
Bag of Words,SVM,0,0.8181818181818182,1.0,0.9,9.0
Bag of Words,SVM,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Bag of Words,SVM,2,1.0,1.0,1.0,15.0
Bag of Words,SVM,3,1.0,1.0,1.0,19.0
Bag of Words,SVM,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
Bag of Words,SVM,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
Bag of Words,Naive Bayes,0,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
Bag of Words,Naive Bayes,1,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
Bag of Words,Naive Bayes,2,1.0,0.7333333333333333,0.8461538461538461,15.0
Bag of Words,Naive Bayes,3,0.8636363636363636,1.0,0.926829268292683,19.0
Bag of Words,Naive Bayes,macro avg,0.8531639928698752,0.8529239766081871,0.8420553024211561,62.0
Bag of Words,Naive Bayes,weighted avg,0.8737709159910299,0.8548387096774194,0.8547183867797558,62.0
Bag of Words,Random Forest,0,0.8181818181818182,1.0,0.9,9.0
Bag of Words,Random Forest,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Bag of Words,Random Forest,2,1.0,1.0,1.0,15.0
Bag of Words,Random Forest,3,1.0,1.0,1.0,19.0
Bag of Words,Random Forest,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
Bag of Words,Random Forest,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
Bag of Words,Gradient Boosting,0,0.75,1.0,0.8571428571428571,9.0
Bag of Words,Gradient Boosting,1,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Bag of Words,Gradient Boosting,2,1.0,0.8,0.8888888888888888,15.0
Bag of Words,Gradient Boosting,3,1.0,1.0,1.0,19.0
Bag of Words,Gradient Boosting,macro avg,0.9111842105263158,0.9236842105263159,0.9101921470342522,62.0
Bag of Words,Gradient Boosting,weighted avg,0.9314516129032258,0.9193548387096774,0.9201228878648234,62.0
Bag of Words,XGBoost,0,1.0,1.0,1.0,9.0
Bag of Words,XGBoost,1,1.0,1.0,1.0,19.0
Bag of Words,XGBoost,2,1.0,1.0,1.0,15.0
Bag of Words,XGBoost,3,1.0,1.0,1.0,19.0
Bag of Words,XGBoost,macro avg,1.0,1.0,1.0,62.0
Bag of Words,XGBoost,weighted avg,1.0,1.0,1.0,62.0
Bag of Words,LightGBM,0,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
Bag of Words,LightGBM,1,1.0,0.8421052631578947,0.9142857142857143,19.0
Bag of Words,LightGBM,2,0.875,0.9333333333333333,0.9032258064516129,15.0
Bag of Words,LightGBM,3,1.0,0.9473684210526315,0.972972972972973,19.0
Bag of Words,LightGBM,macro avg,0.8854166666666666,0.902923976608187,0.8880973139037656,62.0
Bag of Words,LightGBM,weighted avg,0.9213709677419355,0.9032258064516129,0.907474919545679,62.0
Bag of Words,CatBoost,0,0.6428571428571429,1.0,0.782608695652174,9.0
Bag of Words,CatBoost,1,0.9375,0.7894736842105263,0.8571428571428571,19.0
Bag of Words,CatBoost,2,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Bag of Words,CatBoost,3,1.0,0.8947368421052632,0.9444444444444444,19.0
Bag of Words,CatBoost,macro avg,0.878422619047619,0.9043859649122807,0.8793823326432022,62.0
Bag of Words,CatBoost,weighted avg,0.9128744239631337,0.8870967741935484,0.8915102740488435,62.0
TF-IDF,Logistic Regression,0,0.75,1.0,0.8571428571428571,9.0
TF-IDF,Logistic Regression,1,1.0,0.8947368421052632,0.9444444444444444,19.0
TF-IDF,Logistic Regression,2,1.0,0.8,0.8888888888888888,15.0
TF-IDF,Logistic Regression,3,0.9047619047619048,1.0,0.95,19.0
TF-IDF,Logistic Regression,macro avg,0.9136904761904762,0.9236842105263159,0.9101190476190475,62.0
TF-IDF,Logistic Regression,weighted avg,0.9345238095238095,0.9193548387096774,0.9200332821300563,62.0
TF-IDF,SVM,0,0.75,1.0,0.8571428571428571,9.0
TF-IDF,SVM,1,1.0,0.8947368421052632,0.9444444444444444,19.0
TF-IDF,SVM,2,1.0,0.8,0.8888888888888888,15.0
TF-IDF,SVM,3,0.9047619047619048,1.0,0.95,19.0
TF-IDF,SVM,macro avg,0.9136904761904762,0.9236842105263159,0.9101190476190475,62.0
TF-IDF,SVM,weighted avg,0.9345238095238095,0.9193548387096774,0.9200332821300563,62.0
TF-IDF,Naive Bayes,0,0.75,1.0,0.8571428571428571,9.0
TF-IDF,Naive Bayes,1,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
TF-IDF,Naive Bayes,2,1.0,0.7333333333333333,0.8461538461538461,15.0
TF-IDF,Naive Bayes,3,0.8636363636363636,1.0,0.926829268292683,19.0
